config,K,seed,test_f1_full,test_f1_per,test_k_err,test_k_hat,test_k_used,test_miou_full,test_miou_per,test_mof_full,test_mof_per,test_nmi
fixedK,3,2,0.4935111105442047,0.5260888934135437,2.0,3.0,3.0,0.25807374715805054,0.2776026427745819,0.5552588105201721,0.5805190801620483,0.3954867422580719
fixedK,3,0,0.4901333153247833,0.5229554772377014,2.0,3.0,3.0,0.2576705515384674,0.276996374130249,0.5548480153083801,0.5799404382705688,0.39311790466308594
fixedK,3,1,0.48864445090293884,0.5229777097702026,2.0,3.0,3.0,0.2567681074142456,0.27651193737983704,0.5534100532531738,0.5789987444877625,0.39154767990112305
fixedK,3,4,0.4896000027656555,0.5230222344398499,2.0,3.0,3.0,0.257080614566803,0.276768296957016,0.5540263056755066,0.579712450504303,0.3917149007320404
fixedK,3,3,0.48108887672424316,0.5209778547286987,2.0,3.0,3.0,0.25375011563301086,0.2743099629878998,0.5490961670875549,0.5759553909301758,0.3884727656841278
fixedK,4,0,0.5668444633483887,0.6303109526634216,1.0,4.0,4.0,0.3592815101146698,0.37527549266815186,0.5901807546615601,0.6035463213920593,0.4063161313533783
fixedK,4,1,0.5636888742446899,0.6316887140274048,1.0,4.0,4.0,0.35748276114463806,0.3738798499107361,0.5877156853675842,0.601542055606842,0.4058087170124054
fixedK,4,2,0.5694444179534912,0.6323553323745728,1.0,4.0,4.0,0.35945188999176025,0.37562239170074463,0.5897698998451233,0.603047788143158,0.40690121054649353
fixedK,4,3,0.5632888674736023,0.6321554780006409,1.0,4.0,4.0,0.35656866431236267,0.37451326847076416,0.5873048305511475,0.6022548079490662,0.40617096424102783
fixedK,5,1,0.7396222352981567,0.7424668669700623,0.0,5.0,5.0,0.4338740110397339,0.47133031487464905,0.5852506160736084,0.6173940896987915,0.4703519642353058
fixedK,5,2,0.7417333126068115,0.7425333857536316,0.0,5.0,5.0,0.43773946166038513,0.4708179831504822,0.588331937789917,0.6174308061599731,0.4720282554626465
fixedK,5,0,0.7410888671875,0.7452224493026733,0.0,5.0,5.0,0.4408285915851593,0.4752403199672699,0.5918241739273071,0.6213849782943726,0.47044387459754944
fixedK,6,0,0.5582000017166138,0.6627556085586548,1.0,6.0,6.0,0.4257843792438507,0.48383828997612,0.5147904753684998,0.567784309387207,0.46394431591033936
fixedK,6,1,0.5778666734695435,0.6668000221252441,1.0,6.0,6.0,0.43940117955207825,0.48112013936042786,0.5260887145996094,0.5658921003341675,0.47587698698043823
fixedK,6,2,0.667199969291687,0.6871110796928406,1.0,6.0,6.0,0.48722711205482483,0.5020032525062561,0.5669679641723633,0.5801277756690979,0.4859244227409363
fixedK,7,1,0.5699333548545837,0.6234445571899414,2.0,7.0,7.0,0.4691114127635956,0.5167080163955688,0.5059572458267212,0.5413016080856323,0.4677056670188904
fixedK,7,2,0.5741555690765381,0.6281332969665527,2.0,7.0,7.0,0.46755167841911316,0.513577938079834,0.5051355957984924,0.538270890712738,0.46630609035491943
fixedK,7,0,0.5745777487754822,0.6313332915306091,2.0,7.0,7.0,0.4703449010848999,0.5186711549758911,0.5065735578536987,0.5423880815505981,0.4640551805496216
dp_g1.0_plan,6,1,0.5,0.5,4.0,1.0,1.0,0.10045193135738373,0.10048773139715195,0.5022596716880798,0.502438485622406,0.0
dp_g1.0_plan,6,2,0.5,0.5,4.0,1.0,1.0,0.10045193135738373,0.10048773139715195,0.5022596716880798,0.502438485622406,0.0
dp_g1.0_plan,6,0,0.5,0.5,4.0,1.0,1.0,0.10045193135738373,0.10048773139715195,0.5022596716880798,0.502438485622406,0.0
dp_g1.0_plan,10,1,0.5,0.5,4.0,1.0,1.0,0.10045193135738373,0.10048773139715195,0.5022596716880798,0.502438485622406,0.0
dp_g1.0_plan,10,0,0.5,0.5,4.0,1.0,1.0,0.10045193135738373,0.10048773139715195,0.5022596716880798,0.502438485622406,0.0
dp_g1.0_plan,10,2,0.5,0.5,4.0,1.0,1.0,0.10045193135738373,0.10048773139715195,0.5022596716880798,0.502438485622406,0.0
